1690329600000,29228.91000000,29230.38000000,29225.79000000,29226.01000000,12.04847000,1690329659999,352172.52010910,414,1.49453000,43683.95985180,0
1690329660000,29226.00000000,29226.01000000,29224.27000000,29224.28000000,15.40104000,1690329719999,450106.79776980,335,1.19615000,34957.84912780,0
1690329720000,29224.27000000,29226.30000000,29220.57000000,29226.29000000,8.20776000,1690329779999,239852.88231180,431,4.22659000,123512.55499410,0
1690329780000,29226.29000000,29226.30000000,29222.00000000,29222.00000000,14.71823000,1690329839999,430132.86025130,364,1.11935000,32712.80487460,0
1690329840000,29222.00000000,29222.01000000,29217.23000000,29217.24000000,8.28968000,1690329899999,242223.46841560,352,2.32712000,67992.59846430,0
1690329900000,29217.23000000,29221.82000000,29217.23000000,29221.81000000,7.45827000,1690329959999,217922.82323310,267,5.96537000,174302.68135630,0
1690329960000,29221.82000000,29227.75000000,29221.81000000,29227.75000000,8.07422000,1690330019999,235960.87283310,274,6.06181000,177147.18310370,0
1690330020000,29227.74000000,29230.00000000,29227.74000000,29230.00000000,3.05205000,1690330079999,89207.11314340,206,2.25282000,65847.05061320,0
1690330080000,29230.00000000,29233.71000000,29229.99000000,29233.70000000,3.54210000,1690330139999,103544.84785970,250,2.17303000,63522.26445970,0
1690330140000,29233.71000000,29233.71000000,29229.72000000,29229.72000000,32.68623000,1690330199999,955475.72764660,399,1.95734000,57214.44589140,0
1690330200000,29229.72000000,29229.73000000,29219.96000000,29219.97000000,13.48004000,1690330259999,393951.28847870,369,1.32636000,38760.76153170,0
1690330260000,29219.97000000,29219.97000000,29208.10000000,29208.10000000,28.24189000,1690330319999,825094.54816000,450,4.28619000,125219.79009750,0
1690330320000,29208.11000000,29208.11000000,29204.48000000,29204.49000000,9.54498000,1690330379999,278783.06762090,235,2.96072000,86475.28724510,0
1690330380000,29204.48000000,29208.00000000,29204.48000000,29207.99000000,8.62898000,1690330439999,252027.55735110,284,8.23072000,240395.25023760,0
1690330440000,29208.00000000,29208.00000000,29207.99000000,29208.00000000,6.20841000,1690330499999,181335.19474860,165,1.75527000,51267.92616000,0
1690330500000,29207.99000000,29216.11000000,29207.99000000,29216.10000000,9.68097000,1690330559999,282818.05463490,354,8.58636000,250838.45880240,0
1690330560000,29216.11000000,29216.11000000,29210.00000000,29210.01000000,10.43798000,1690330619999,304931.24499510,348,3.49078000,101974.25054320,0
1690330620000,29210.01000000,29210.01000000,29206.95000000,29206.96000000,6.94906000,1690330679999,202974.38689410,224,1.37612000,40193.84101620,0
1690330680000,29206.95000000,29206.96000000,29194.00000000,29194.01000000,13.48224000,1690330739999,393690.14208620,474,1.30329000,38056.55132370,0
1690330740000,29194.01000000,29194.01000000,29194.00000000,29194.00000000,6.32398000,1690330799999,184622.30329380,218,3.11738000,91008.82289380,0
1690330800000,29194.00000000,29197.09000000,29192.00000000,29192.01000000,15.53444000,1690330859999,453534.94331010,411,8.19724000,239318.38304120,0
1690330860000,29192.01000000,29192.01000000,29188.00000000,29188.01000000,7.78062000,1690330919999,227119.12768650,296,1.44790000,42265.33458310,0
1690330920000,29188.00000000,29188.36000000,29188.00000000,29188.36000000,9.04307000,1690330979999,263951.60227380,230,4.35832000,127211.69743950,0
1690330980000,29188.35000000,29188.36000000,29172.17000000,29172.18000000,26.04847000,1690331039999,760214.80968930,928,4.77699000,139415.84272360,0
1690331040000,29172.18000000,29179.22000000,29172.17000000,29179.22000000,13.20343000,1690331099999,385195.17513710,357,8.25556000,240846.18704100,0
1690331100000,29179.21000000,29179.22000000,29140.00000000,29150.00000000,57.86513000,1690331159999,1687235.64852420,1845,6.99772000,203968.51152340,0
1690331160000,29150.01000000,29151.46000000,29143.00000000,29151.44000000,22.75607000,1690331219999,663288.45053210,467,8.30730000,242135.26830910,0
1690331220000,29151.45000000,29168.72000000,29151.44000000,29167.76000000,15.32037000,1690331279999,446791.82679600,486,9.83141000,286693.61137940,0
1690331280000,29167.76000000,29183.61000000,29167.75000000,29182.15000000,14.99007000,1690331339999,437367.25872600,524,8.43758000,246164.24792070,0
1690331340000,29182.15000000,29191.66000000,29182.15000000,29191.65000000,8.83358000,1690331399999,257805.08181480,356,6.61037000,192923.49543850,0
1690331400000,29191.66000000,29191.66000000,29174.01000000,29174.01000000,16.76819000,1690331459999,489349.69570380,445,0.26996000,7876.97458000,0
1690331460000,29174.02000000,29174.02000000,29160.01000000,29160.02000000,9.36243000,1690331519999,273073.81036050,481,2.65374000,77393.32269520,0
1690331520000,29160.02000000,29160.02000000,29156.01000000,29156.01000000,5.83296000,1690331579999,170086.82505280,264,0.33372000,9731.12111440,0
1690331580000,29156.02000000,29165.46000000,29156.01000000,29156.02000000,22.30804000,1690331639999,650514.56679390,578,12.17188000,354923.07730830,0
1690331640000,29156.01000000,29163.70000000,29156.01000000,29163.70000000,5.39720000,1690331699999,157377.26094610,345,3.74680000,109254.01962830,0
1690331700000,29163.70000000,29167.99000000,29163.69000000,29164.00000000,8.55707000,1690331759999,249575.93308110,351,2.51574000,73372.18005160,0
1690331760000,29164.00000000,29167.31000000,29164.00000000,29167.30000000,5.03640000,1690331819999,146885.95821980,214,3.89275000,113532.40260480,0
1690331820000,29167.31000000,29169.45000000,29167.30000000,29169.45000000,4.21569000,1690331879999,122962.72170950,234,3.25282000,94877.81439320,0
1690331880000,29169.44000000,29189.19000000,29169.44000000,29180.22000000,16.52006000,1690331939999,482075.82828000,567,8.36982000,244201.49906090,0
1690331940000,29180.21000000,29180.22000000,29180.21000000,29180.22000000,2.20106000,1690331999999,64227.41147520,110,1.84526000,53845.09275720,0
1690332000000,29180.21000000,29182.03000000,29180.21000000,29182.03000000,5.49122000,1690332059999,160242.30955090,218,3.66470000,106940.80042660,0
1690332060000,29182.02000000,29188.00000000,29182.02000000,29188.00000000,3.95669000,1690332119999,115475.88638730,277,1.76249000,51437.27536350,0
1690332120000,29188.00000000,29188.00000000,29182.74000000,29182.74000000,5.51724000,1690332179999,161025.04319200,251,1.40894000,41117.33589100,0
1690332180000,29182.75000000,29189.83000000,29182.74000000,29189.83000000,10.46649000,1690332239999,305471.88492940,328,10.17256000,296893.24344200,0
1690332240000,29189.82000000,29189.83000000,29185.00000000,29185.00000000,11.21621000,1690332299999,327375.89742220,246,5.32674000,155467.80056680,0
1690332300000,29185.00000000,29185.01000000,29185.00000000,29185.01000000,0.70751000,1690332359999,20648.68305220,138,0.37022000,10804.87440220,0
1690332360000,29185.00000000,29185.01000000,29170.45000000,29170.46000000,13.57160000,1690332419999,395993.95574930,368,0.68123000,19872.14584390,0
1690332420000,29170.45000000,29175.70000000,29170.45000000,29172.00000000,10.89607000,1690332479999,317867.28243870,346,5.54624000,161793.70338070,0
1690332480000,29172.00000000,29172.76000000,29170.45000000,29170.45000000,9.11914000,1690332539999,266026.43176850,192,1.06450000,31053.64475000,0
1690332540000,29170.45000000,29171.75000000,29170.45000000,29171.74000000,4.11023000,1690332599999,119898.99286000,212,1.53345000,44731.97897420,0
1690332600000,29171.74000000,29180.00000000,29171.74000000,29174.10000000,36.74403000,1690332659999,1072070.12696000,810,10.76798000,314157.08181480,0
1690332660000,29174.10000000,29174.11000000,29171.00000000,29171.00000000,3.48781000,1690332719999,101750.34737490,197,0.26666000,7779.44817160,0
1690332720000,29171.01000000,29174.12000000,29171.00000000,29174.12000000,3.54642000,1690332779999,103460.10154280,220,3.18224000,92835.49857650,0
1690332780000,29174.12000000,29178.53000000,29172.00000000,29178.53000000,8.65780000,1690332839999,252587.94069100,354,6.82962000,199253.27136280,0
1690332840000,29178.52000000,29178.53000000,29176.36000000,29176.37000000,3.52796000,1690332899999,102937.58256360,194,0.16660000,4860.82771640,0
1690332900000,29176.36000000,29176.37000000,29171.58000000,29171.59000000,4.22367000,1690332959999,123222.63064950,239,0.31420000,9165.80028720,0
1690332960000,29171.59000000,29176.35000000,29171.58000000,29176.35000000,8.03733000,1690333019999,234492.06895270,286,6.92705000,202098.42301470,0
1690333020000,29176.35000000,29176.35000000,29176.34000000,29176.34000000,6.33163000,1690333079999,184733.83178020,233,4.21460000,122966.64471000,0
1690333080000,29176.34000000,29176.35000000,29170.15000000,29170.15000000,9.08073000,1690333139999,264913.07297340,331,0.39483000,11518.12898170,0
1690333140000,29170.16000000,29170.16000000,29166.76000000,29166.76000000,1.57235000,1690333199999,45863.20871450,209,0.30062000,8768.38241240,0
