1686009600000,1810.49000000,1810.89000000,1809.81000000,1810.79000000,904.15640000,1686009659999,1636834.45888300,572,467.15550000,845729.98375000,0
1686009660000,1810.80000000,1811.25000000,1809.78000000,1811.24000000,612.34820000,1686009719999,1108605.44143100,621,395.57760000,716173.84111200,0
1686009720000,1811.25000000,1811.42000000,1810.79000000,1810.79000000,213.37030000,1686009779999,386480.79218600,319,124.23470000,225031.92019600,0
1686009780000,1810.80000000,1810.80000000,1810.36000000,1810.75000000,93.72110000,1686009839999,169695.07643900,316,30.71290000,55605.68171300,0
1686009840000,1810.74000000,1811.04000000,1810.74000000,1811.03000000,81.50680000,1686009899999,147603.15635500,253,55.22750000,100012.72869700,0
1686009900000,1811.03000000,1811.34000000,1811.03000000,1811.33000000,144.53830000,1686009959999,261786.79464500,351,109.66070000,198614.41966400,0
1686009960000,1811.33000000,1811.34000000,1809.65000000,1810.16000000,269.63230000,1686010019999,488129.83307600,402,134.49180000,243428.92139400,0
1686010020000,1810.16000000,1811.16000000,1809.66000000,1809.67000000,392.66950000,1686010079999,710928.30999300,459,293.37450000,531166.23479600,0
1686010080000,1809.66000000,1809.94000000,1809.24000000,1809.88000000,175.40280000,1686010139999,317428.76992500,372,81.22470000,146978.54834500,0
1686010140000,1809.87000000,1810.41000000,1809.87000000,1810.40000000,107.39810000,1686010199999,194399.19177100,252,85.42310000,154619.74505600,0
1686010200000,1810.41000000,1810.60000000,1810.40000000,1810.59000000,140.02040000,1686010259999,253515.63849300,290,79.75480000,144399.97684200,0
1686010260000,1810.59000000,1810.59000000,1810.19000000,1810.43000000,232.83270000,1686010319999,421518.46950100,331,156.02860000,282472.61080900,0
1686010320000,1810.42000000,1810.43000000,1809.61000000,1809.63000000,166.74950000,1686010379999,301848.22560200,292,44.59290000,80718.97845700,0
1686010380000,1809.62000000,1810.71000000,1809.62000000,1810.71000000,224.74750000,1686010439999,406807.73122100,424,91.00890000,164731.85978700,0
1686010440000,1810.70000000,1810.80000000,1810.57000000,1810.79000000,94.89980000,1686010499999,171832.36153600,292,62.68840000,113507.48335900,0
1686010500000,1810.80000000,1811.49000000,1810.79000000,1811.30000000,251.51420000,1686010559999,455534.13133400,432,164.56810000,298049.75678100,0
1686010560000,1811.29000000,1811.49000000,1811.29000000,1811.46000000,71.89790000,1686010619999,130238.75827200,260,24.61690000,44591.32604100,0
1686010620000,1811.46000000,1811.67000000,1811.46000000,1811.48000000,137.08970000,1686010679999,248346.90418600,350,99.78740000,180770.00982400,0
1686010680000,1811.49000000,1811.49000000,1811.29000000,1811.30000000,53.01900000,1686010739999,96037.63165000,213,37.73080000,68344.29747900,0
1686010740000,1811.30000000,1811.70000000,1811.29000000,1811.47000000,120.10960000,1686010799999,217581.48364200,344,54.94070000,99519.59703300,0
1686010800000,1811.47000000,1811.47000000,1811.11000000,1811.12000000,189.96260000,1686010859999,344094.75851300,319,21.71570000,39336.87065700,0
1686010860000,1811.11000000,1811.12000000,1811.11000000,1811.11000000,35.35660000,1686010919999,64034.85115900,199,15.93330000,28857.11829600,0
1686010920000,1811.12000000,1811.12000000,1811.11000000,1811.12000000,34.88730000,1686010979999,63185.00654100,186,26.86380000,48653.56545600,0
1686010980000,1811.12000000,1811.62000000,1811.11000000,1811.62000000,110.32000000,1686011039999,199834.89247200,336,84.99850000,153964.05124900,0
1686011040000,1811.61000000,1811.62000000,1811.61000000,1811.62000000,39.44170000,1686011099999,71453.27630900,214,29.81720000,54017.43586400,0
1686011100000,1811.61000000,1811.62000000,1811.61000000,1811.62000000,92.01430000,1686011159999,166694.30310300,255,27.70800000,50196.36696000,0
1686011160000,1811.62000000,1811.62000000,1811.23000000,1811.23000000,105.74700000,1686011219999,191556.21245700,262,23.28070000,42168.39936000,0
